course_code,url
CS 38003,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=38003&enhanced=Y
CSCI 31700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=31700&enhanced=Y
CSCI 36300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=36300&enhanced=Y
CSCI 40300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=40300&enhanced=Y
CSCI 41400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=41400&enhanced=Y
CSCI 43200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=43200&enhanced=Y
CSCI 44300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=44300&enhanced=Y
CSCI 44800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=44800&enhanced=Y
CSCI 48100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=48100&enhanced=Y
CSCI 48400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=48400&enhanced=Y
CSCI 48900,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=48900&enhanced=Y
CSCI 49000-NLP,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=49000&enhanced=Y
CSCI 49500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CSCI&cnbr=49500&enhanced=Y
CS 50200,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=50200&enhanced=Y
CS 50300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=50300&enhanced=Y
CS 51400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=51400&enhanced=Y
CS 52300,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52300&enhanced=Y
CS 52500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52500&enhanced=Y
CS 52700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52700&enhanced=Y
CS 52800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=52800&enhanced=Y
CS 53000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=53000&enhanced=Y
CS 53500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=53500&enhanced=Y
CS 53600,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=53600&enhanced=Y
CS 54100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=54100&enhanced=Y
CS 55100,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=55100&enhanced=Y
CS 55800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=55800&enhanced=Y
CS 56500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=56500&enhanced=Y
CS 57800,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=57800&enhanced=Y
CS 58000,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58000&enhanced=Y
CS 58400,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58400&enhanced=Y
CS 58500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58500&enhanced=Y
CS 58700,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=58700&enhanced=Y
CS 59100-SEC,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59100&enhanced=Y
CS 59200-AAS,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-CI1,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-EAI,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-MLI,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-MUC,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-QCS,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59200-VBD,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59200&enhanced=Y
CS 59300-CII,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 59300-PCA,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 59300-SER,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 59300-TML,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=59300&enhanced=Y
CS 61500,https://selfservice.mypurdue.purdue.edu/prod/bzwsrch.p_catalog_detail?term=202620&subject=CS&cnbr=61500&enhanced=Y
CS Seminars,https://www.cs.purdue.edu/research/seminars.html
